Player,Team,Pos,season,target,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25
Anthony Parker,CLE,SG,2010,0,9.941188,5.590647,7.3515606,9.823727,2.212828,10.642043,3.064287,3.0801113,2.2676253,4.8962374,3.135671,5.6209865,5.632682,6.5413704,5.806493,4.3384614,9.258022,5.1456513,6.5334754,2.4752553,5.717887,5.9971504,4.5649085,5.5582604,4.070035
Anthony Randolph,GSW,C,2010,0,10.071513,5.737326,7.9221787,9.721279,2.1386657,9.940436,4.109621,2.9927604,3.6763475,4.2274942,3.3477087,5.695188,5.599436,6.6817617,5.9842095,4.201519,9.334315,5.1199346,6.670287,2.5883002,5.7016916,5.941401,4.735554,5.5682907,4.069106
Anthony Tolliver,2TM,PF,2010,0,10.020028,5.6852036,7.626074,9.770027,2.1791887,10.136921,3.5085166,3.0613892,3.3354738,4.436018,3.2727826,5.6617794,5.625492,6.6289797,5.9346027,4.242089,9.320592,5.1211653,6.631065,2.5507042,5.7177114,5.953918,4.691105,5.5620728,4.063241
Antoine Wright,TOR,SF,2010,0,10.029413,5.7436447,8.289257,9.759103,2.1796281,10.583812,3.3449867,3.267306,2.8720617,4.582861,3.071539,5.5629845,5.6295104,6.530441,5.8752203,4.2313294,9.294781,5.1872373,6.609248,2.5054405,5.712559,5.982087,4.6036944,5.546638,4.0599937
Antonio Anderson,OKC,SF,2010,0,10.132264,5.9446893,10.292754,9.591624,2.0831342,11.026362,4.605115,3.510023,2.6168673,4.3968706,2.792478,5.431624,5.5196767,6.412032,5.89841,4.0896406,9.284229,5.2693353,6.6276865,2.542388,5.6683154,5.9850607,4.562038,5.531989,4.0726576
Antonio McDyess,SAS,PF,2010,0,10.053425,5.653359,7.8383555,9.644303,2.0819345,9.540882,5.2496486,2.7809036,2.9720066,4.3028173,3.4810238,5.7796626,5.468955,6.723491,5.9500804,4.227524,9.291921,5.0299034,6.5957646,2.6327918,5.681485,5.9481487,4.7773604,5.6086116,4.1077423
Arron Afflalo,DEN,SG,2010,0,9.940864,5.5971856,7.3814692,9.813222,2.2159786,10.519817,3.0264297,3.1202452,2.4450777,4.823185,3.1347184,5.6148853,5.62189,6.5360465,5.834504,4.312994,9.275601,5.122571,6.5410748,2.4961503,5.7264752,5.982334,4.601639,5.558707,4.0673037
Austin Daye,DET,SF,2010,0,10.053442,5.8364244,9.103428,9.676281,2.15813,10.547745,3.645927,3.4512281,3.5933936,4.2276497,2.927287,5.499032,5.5659747,6.4705815,6.013183,4.091243,9.365157,5.149168,6.658343,2.5980995,5.718063,5.9202,4.7183056,5.531923,4.0491347
Baron Davis,LAC,PG,2010,0,9.985924,5.630084,6.422977,9.931585,2.2502525,10.600628,2.417237,2.8213162,4.1749973,4.460573,3.35187,5.72538,5.8086324,6.71362,5.980667,4.331375,9.351858,5.2019854,6.705149,2.500285,5.718494,5.939681,4.6303053,5.523672,4.029448
Ben Gordon,DET,SG,2010,0,10.042802,5.7559476,7.626157,9.83152,2.2200348,10.401061,2.695356,3.1820443,4.09205,4.3097754,3.2062109,5.6134152,5.7361846,6.621059,5.9844413,4.2162514,9.363143,5.1930118,6.709086,2.5256588,5.730422,5.9412766,4.6715465,5.5287104,4.031314
