Player,Team,Pos,season,target,Age,3PA,3P%,2P%,FT%,PF,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,USG%,DBPM,BPM,VORP,SOS,NRtg,Pace,Offense Four Factors eFG%,Offense Four Factors TOV%,Offense Four Factors ORB%,Offense Four Factors FT/FGA,Defense Four Factors eFG%,Defense Four Factors TOV%,Defense Four Factors DRB%,Defense Four Factors FT/FGA,potw_count,potm_count
C.J. Watson,GSW,PG,2010,0,25.0,2.2,0.31,0.527,0.771,1.9,10.3,0.555,0.275,0.314,5.3,14.3,2.8,0.3,16.0,0.3,-0.4,0.7,0.32,-3.6,100.4,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,0,0
Carl Landry,2TM,PF,2010,0,26.0,0.0,0.333,0.537,0.806,2.9,16.8,0.5325,0.233,0.289,10.9,4.6,1.1,1.9,22.5,-0.4,0.8,1.7,0.3249999999999999,-2.5,94.0,0.4925,13.4,27.35,0.216,0.508,13.1,73.65,0.2294999999999999,0,0
Carlos Arroyo,MIA,PG,2010,0,30.0,0.3,0.28,0.489,0.844,1.4,6.1,0.529,0.067,0.24,4.8,22.2,1.2,0.3,13.9,0.1,-1.5,0.2,-0.29,2.5,89.6,0.496,12.8,26.1,0.223,0.48,13.9,74.9,0.246,0,0
Carlos Boozer,UTA,PF,2010,0,28.0,0.0,0.0,0.562,0.742,3.5,19.5,0.599,0.0,0.35,19.4,15.8,1.6,1.1,24.8,1.1,3.4,3.7,-0.01,5.7,93.8,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,0,0
Carlos Delfino,MIL,SF,2010,0,27.0,4.9,0.367,0.45,0.782,1.8,11.0,0.526,0.499,0.163,9.8,14.0,1.8,0.7,18.0,1.5,1.5,2.0,-0.32,1.8,91.7,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,0,0
Carmelo Anthony,DEN,SF,2010,2,25.0,2.7,0.316,0.478,0.83,3.3,28.2,0.548,0.125,0.407,9.9,15.9,1.7,0.9,33.4,-1.2,2.3,2.9,0.06,4.3,94.8,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,1,0
Caron Butler,2TM,SG,2010,0,29.0,2.0,0.29,0.45,0.838,2.6,16.3,0.538,0.2025,0.28,9.5,9.2,2.2,0.7,22.1,0.0,-1.3,0.5,0.0,-1.15,92.05,0.4935,13.1,25.950000000000003,0.221,0.4985,13.2,73.05000000000001,0.2224999999999999,0,0
Cartier Martin,2TM,SF,2010,0,25.0,2.7,0.347,0.379,0.8,2.7,7.8,0.5405,0.2105,0.2885,9.8,6.2,1.4,0.2,18.8,-1.5,-4.4,-0.2,0.19,-4.4,96.0,0.4975,13.5,24.25,0.223,0.5135000000000001,13.95,70.45,0.2495,0,0
Cedric Jackson,3TM,PG,2010,0,23.0,0.5,0.167,0.357,0.583,0.6,1.7,0.5486666666666666,0.221,0.3066666666666666,6.3,27.1,2.1,1.9,22.4,-0.6,-6.8,-0.1,-0.1066666666666666,2.4666666666666663,91.56666666666668,0.5093333333333333,13.4,26.5,0.2269999999999999,0.489,12.4,75.3,0.2236666666666666,0,0
Channing Frye,PHO,C,2010,0,26.0,4.8,0.439,0.466,0.81,3.2,11.2,0.598,0.558,0.172,11.0,7.4,1.5,2.4,16.7,0.9,2.7,2.6,-0.23,5.1,95.3,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.224,0,0
