Player,Team,Pos,season,target,Age,3PA,3P%,2P%,FT%,PF,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,USG%,DBPM,BPM,VORP,SOS,NRtg,Pace,Offense Four Factors eFG%,Offense Four Factors TOV%,Offense Four Factors ORB%,Offense Four Factors FT/FGA,Defense Four Factors eFG%,Defense Four Factors TOV%,Defense Four Factors DRB%,Defense Four Factors FT/FGA,potw_count,potm_count
Devyn Marble,ORL,SG,2016,0,23.0,1.1,0.25,0.333,0.417,0.9,2.1,0.368,0.451,0.338,8.5,6.6,2.6,0.3,15.7,-0.1,-6.2,-0.3,-0.06,-1.7,96.0,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,0,0
Dewayne Dedmon,ORL,C,2016,0,26.0,0.0,0.0,0.559,0.75,1.9,4.4,0.606,0.0,0.429,17.9,2.7,1.6,5.4,15.2,0.7,-0.9,0.2,-0.06,-1.7,96.0,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,0,0
Dion Waiters,OKC,SG,2016,0,24.0,3.1,0.358,0.421,0.713,1.8,9.8,0.492,0.34,0.222,5.1,10.0,1.9,0.5,17.7,-0.4,-2.8,-0.4,-0.19,7.5,96.7,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.205,0,0
Dirk Nowitzki,DAL,PF,2016,0,37.0,4.6,0.368,0.483,0.893,2.1,18.3,0.555,0.308,0.252,11.4,10.1,1.1,1.8,25.5,0.1,2.5,2.7,0.29,-0.3,94.3,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198,0,0
Donald Sloan,BRK,PG,2016,0,28.0,1.6,0.384,0.462,0.75,1.2,7.0,0.536,0.283,0.297,7.4,30.0,1.2,0.2,16.1,-1.4,-1.7,0.1,0.24,-7.7,95.2,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,0,0
Donatas Motiejūnas,HOU,PF,2016,0,25.0,1.5,0.281,0.5,0.642,1.9,6.2,0.504,0.278,0.259,11.0,12.2,1.5,0.8,21.4,-1.7,-4.5,-0.3,0.14,0.2,97.6,0.516,14.2,25.7,0.244,0.516,14.8,72.8,0.219,0,0
Doug McDermott,CHI,SF,2016,0,24.0,3.2,0.425,0.47,0.857,1.6,9.4,0.561,0.402,0.13,5.5,5.0,0.4,0.2,17.3,-1.9,-2.9,-0.4,0.01,-1.5,95.7,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,0,0
Draymond Green,GSW,PF,2016,2,25.0,3.2,0.388,0.537,0.696,3.0,14.0,0.587,0.315,0.402,14.7,29.0,2.0,3.0,18.8,2.9,5.5,5.3,-0.38,10.7,99.3,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208,0,0
Drew Gooden,WAS,PF,2016,0,34.0,1.4,0.171,0.419,0.643,1.3,2.7,0.376,0.398,0.136,15.6,6.0,1.3,2.9,17.5,-1.3,-6.3,-0.3,0.0,-0.5,98.5,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,0,0
Duje Dukan,SAC,SF,2016,0,24.0,5.0,0.4,0.0,0.0,2.0,6.0,0.3,0.5,0.0,9.0,5.6,2.0,0.0,17.7,-2.6,-7.0,0.0,0.16,-2.4,100.0,0.51,14.2,23.9,0.214,0.521,14.0,74.9,0.202,0,0
Dwight Howard,HOU,C,2016,0,30.0,0.1,0.0,0.626,0.489,3.1,13.7,0.604,0.01,0.79,20.2,7.0,1.5,4.1,18.4,-0.2,0.1,1.2,0.14,0.2,97.6,0.516,14.2,25.7,0.244,0.516,14.8,72.8,0.219,0,0
Dwight Powell,DAL,PF,2016,0,24.0,0.2,0.125,0.514,0.739,1.7,5.8,0.557,0.054,0.48,15.1,7.2,1.8,2.0,18.4,0.7,0.1,0.5,0.29,-0.3,94.3,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198,0,0
Dwyane Wade,MIA,SG,2016,0,34.0,0.6,0.159,0.468,0.793,1.6,19.0,0.517,0.037,0.343,7.6,27.4,1.8,1.4,31.6,-0.4,1.9,2.2,-0.14,1.7,93.6,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,0,0
E'Twaun Moore,CHI,SG,2016,0,26.0,1.8,0.452,0.491,0.629,1.7,7.5,0.548,0.267,0.09,5.5,12.1,1.5,1.0,15.9,0.0,-1.9,0.0,0.01,-1.5,95.7,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,0,0
Ed Davis,POR,PF,2016,0,26.0,0.0,0.0,0.611,0.559,2.5,6.5,0.616,0.0,0.605,19.3,7.7,1.7,3.3,12.7,0.9,1.9,1.6,0.15,0.8,96.0,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,0,0
Edy Tavares,ATL,C,2016,0,23.0,0.0,0.0,0.579,0.375,0.7,2.3,0.555,0.0,0.421,15.7,6.3,0.7,6.5,16.9,1.1,-1.8,0.0,-0.12,3.7,97.1,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,0,0
Elfrid Payton,ORL,PG,2016,0,21.0,1.3,0.326,0.451,0.589,2.2,10.7,0.478,0.126,0.26,6.7,32.8,2.1,0.8,20.4,-0.6,-1.2,0.4,-0.06,-1.7,96.0,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,0,0
Elijah Millsap,UTA,SG,2016,0,28.0,0.6,0.083,0.37,0.722,1.7,1.8,0.384,0.308,0.462,11.8,16.2,2.1,1.5,14.9,2.1,-3.8,-0.1,0.05,2.0,91.0,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,0,0
Elliot Williams,MEM,PG,2016,0,26.0,0.8,0.25,0.167,0.75,0.4,1.6,0.34,0.4,0.4,5.1,12.4,0.0,0.0,12.7,-2.6,-7.9,-0.1,0.11,-2.4,93.3,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,0,0
Elton Brand,PHI,C,2016,0,36.0,0.1,0.0,0.437,0.889,1.9,4.1,0.461,0.014,0.125,15.2,13.1,2.0,2.7,16.9,1.3,-3.4,-0.1,0.31,-10.4,97.9,0.487,14.8,20.6,0.186,0.51,13.5,74.0,0.24,0,0
Emmanuel Mudiay,DEN,PG,2016,5,19.0,3.4,0.319,0.379,0.67,2.1,12.8,0.437,0.256,0.231,6.2,29.0,1.6,1.4,25.7,-1.9,-4.2,-1.2,0.29,-3.3,95.7,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,0,0
Enes Freedom,OKC,C,2016,0,23.0,0.3,0.476,0.579,0.797,2.0,12.7,0.626,0.029,0.349,21.0,3.1,0.7,1.5,23.4,-2.1,1.2,1.4,-0.19,7.5,96.7,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.205,0,0
Eric Bledsoe,PHO,PG,2016,0,26.0,4.2,0.372,0.482,0.802,2.4,20.4,0.557,0.262,0.35,6.4,31.8,2.9,1.5,27.2,0.8,3.3,1.4,0.34,-6.8,98.5,0.487,15.2,25.4,0.204,0.523,13.5,77.1,0.237,0,0
Eric Gordon,NOP,SG,2016,0,27.0,6.5,0.384,0.457,0.888,2.2,15.2,0.565,0.533,0.226,3.7,12.7,1.4,0.8,20.3,-1.0,-0.1,0.7,0.24,-3.9,96.8,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,0,0
Eric Moreland,SAC,PF,2016,0,24.0,0.0,0.0,0.5,0.5,0.5,1.0,0.515,0.0,0.667,12.4,2.7,0.0,6.7,9.5,-0.1,-4.5,0.0,0.16,-2.4,100.0,0.51,14.2,23.9,0.214,0.521,14.0,74.9,0.202,0,0
Erick Green,2TM,PG,2016,0,24.0,0.6,0.2,0.5,1.0,0.4,1.4,0.5355000000000001,0.287,0.284,8.3,11.0,1.3,0.0,15.2,-0.4,-1.9,0.0,0.1699999999999999,-0.6499999999999999,93.35,0.495,13.7,25.85,0.2145,0.505,13.05,77.5,0.213,0,0
Ersan İlyasova,2TM,PF,2016,0,28.0,3.5,0.371,0.458,0.721,2.3,10.4,0.5275000000000001,0.279,0.264,11.7,5.6,1.4,1.4,18.6,-0.4,-0.2,0.9,-0.12,-0.55,95.55,0.4955,12.5,25.05,0.186,0.5085,13.15,77.9,0.2055,0,0
Evan Fournier,ORL,SF,2016,0,23.0,4.9,0.4,0.506,0.836,2.7,15.4,0.587,0.42,0.256,4.9,12.8,1.9,0.1,20.1,-0.5,-0.3,1.1,-0.06,-1.7,96.0,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,0,0
Evan Turner,BOS,SG,2016,0,27.0,1.0,0.241,0.482,0.827,1.7,10.5,0.513,0.11,0.238,9.3,23.9,1.7,1.0,18.8,0.9,0.0,1.1,-0.37,3.2,98.5,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,0,0
Festus Ezeli,GSW,C,2016,0,26.0,0.0,0.0,0.548,0.53,2.0,7.0,0.559,0.0,0.579,18.0,5.8,1.1,4.8,18.2,0.4,-0.1,0.4,-0.38,10.7,99.3,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208,0,0
Frank Kaminsky,CHO,C,2016,0,22.0,2.5,0.337,0.455,0.73,1.6,7.5,0.513,0.385,0.282,10.7,9.0,1.1,2.0,17.1,0.2,-0.8,0.5,-0.36,2.9,95.6,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,0,0
Garrett Temple,WAS,SF,2016,0,29.0,3.2,0.345,0.453,0.728,2.4,7.3,0.52,0.511,0.248,6.1,10.0,1.7,0.7,14.0,0.4,-2.1,0.0,0.0,-0.5,98.5,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,0,0
Gary Harris,DEN,SG,2016,0,21.0,3.9,0.354,0.543,0.82,1.9,12.3,0.566,0.388,0.174,5.0,9.5,2.0,0.6,16.5,-0.2,-0.9,0.7,0.29,-3.3,95.7,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,0,0
Gary Neal,WAS,SG,2016,0,31.0,2.5,0.41,0.489,0.855,1.4,9.8,0.558,0.308,0.169,5.8,9.2,1.2,0.1,20.5,-1.3,-1.5,0.1,0.0,-0.5,98.5,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,0,0
George Hill,IND,PG,2016,0,29.0,4.2,0.408,0.466,0.76,2.0,12.1,0.555,0.425,0.203,6.5,15.5,1.6,0.5,15.8,0.7,0.7,1.7,-0.09,1.7,96.6,0.497,13.5,23.4,0.205,0.489,14.3,76.0,0.205,0,0
Gerald Green,MIA,SG,2016,0,30.0,3.8,0.323,0.446,0.783,1.8,8.9,0.491,0.443,0.157,5.9,5.6,1.3,0.9,19.8,-0.9,-3.1,-0.4,-0.14,1.7,93.6,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,0,0
Gerald Henderson,POR,SG,2016,0,28.0,1.9,0.353,0.468,0.767,1.2,8.7,0.526,0.257,0.276,8.0,8.2,1.4,1.0,20.2,-0.7,-1.8,0.1,0.15,0.8,96.0,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,0,0
Giannis Antetokounmpo,MIL,PG,2016,0,21.0,1.4,0.257,0.537,0.724,3.2,16.9,0.566,0.108,0.404,12.4,20.0,1.7,3.4,22.3,0.7,2.1,2.9,0.2,-4.4,94.2,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,4,3
Glenn Robinson III,IND,SF,2016,0,22.0,0.8,0.378,0.447,0.692,0.5,3.8,0.508,0.245,0.258,7.3,7.7,1.7,1.4,16.1,0.5,-1.1,0.1,-0.09,1.7,96.6,0.497,13.5,23.4,0.205,0.489,14.3,76.0,0.205,0,0
Goran Dragić,MIA,PG,2016,0,29.0,2.8,0.312,0.527,0.727,2.6,14.1,0.537,0.234,0.189,6.6,28.7,1.5,0.6,21.9,-0.5,-0.4,1.0,-0.14,1.7,93.6,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,0,0
Gordon Hayward,UTA,SF,2016,0,25.0,5.1,0.349,0.477,0.824,2.3,19.7,0.559,0.341,0.397,8.0,18.2,1.7,0.8,25.7,0.2,2.6,3.3,0.05,2.0,91.0,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,0,0
Gorgui Dieng,MIN,C,2016,0,26.0,0.2,0.3,0.54,0.827,2.7,10.1,0.601,0.035,0.428,15.3,10.1,2.1,3.5,16.7,0.8,0.8,1.5,0.15,-3.6,95.2,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,0,0
Greg Monroe,MIL,C,2016,0,25.0,0.0,0.0,0.522,0.74,2.1,15.3,0.562,0.001,0.327,17.2,13.2,1.6,2.5,23.5,-0.6,2.1,2.4,0.2,-4.4,94.2,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,0,0
Greg Smith,MIN,PF,2016,0,25.0,0.0,0.0,0.563,0.412,1.6,2.4,0.545,0.0,0.531,12.7,4.6,1.1,0.4,10.8,-1.4,-5.5,-0.2,0.15,-3.6,95.2,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,0,0
Greivis Vásquez,MIL,PG,2016,0,29.0,3.2,0.247,0.415,0.846,1.8,5.7,0.435,0.529,0.188,5.8,28.5,1.1,0.0,18.5,-2.9,-6.2,-0.5,0.2,-4.4,94.2,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,0,0
Harrison Barnes,GSW,SF,2016,0,23.0,3.2,0.383,0.508,0.761,2.1,11.7,0.559,0.338,0.212,8.6,7.8,1.0,0.4,15.9,-1.1,-1.3,0.3,-0.38,10.7,99.3,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208,0,0
Hassan Whiteside,MIA,C,2016,0,26.0,0.0,0.0,0.606,0.65,2.8,14.2,0.629,0.0,0.482,23.1,2.4,1.1,9.7,20.7,2.4,4.1,3.3,-0.14,1.7,93.6,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,0,0
Henry Sims,BRK,C,2016,0,25.0,0.0,0.0,0.429,0.833,2.6,6.5,0.504,0.0,0.39,15.4,5.1,1.7,4.3,17.3,-0.8,-4.3,-0.2,0.24,-7.7,95.2,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,0,0
Hollis Thompson,PHI,SG,2016,0,24.0,5.1,0.38,0.42,0.719,2.4,9.8,0.525,0.576,0.141,6.9,7.4,0.8,0.8,16.2,-1.7,-3.4,-0.7,0.31,-10.4,97.9,0.487,14.8,20.6,0.186,0.51,13.5,74.0,0.24,0,0
Ian Clark,GSW,SG,2016,0,24.0,1.3,0.357,0.5,0.824,0.9,3.6,0.544,0.416,0.168,6.3,15.3,1.4,1.7,19.5,-0.4,-1.9,0.0,-0.38,10.7,99.3,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208,0,0
Ian Mahinmi,IND,C,2016,0,29.0,0.0,0.0,0.589,0.587,3.1,9.3,0.603,0.0,0.502,15.3,8.9,1.8,3.3,15.7,1.9,0.9,1.4,-0.09,1.7,96.6,0.497,13.5,23.4,0.205,0.489,14.3,76.0,0.205,0,0
Iman Shumpert,CLE,SG,2016,0,25.0,2.7,0.295,0.447,0.784,2.2,5.8,0.475,0.479,0.167,8.7,9.8,2.1,1.2,13.2,1.4,-1.5,0.1,-0.55,6.4,93.3,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,0,0
Isaiah Canaan,PHI,SG,2016,0,24.0,6.3,0.363,0.354,0.833,1.7,11.0,0.528,0.672,0.249,4.8,11.3,1.4,0.5,19.9,-1.6,-2.4,-0.2,0.31,-10.4,97.9,0.487,14.8,20.6,0.186,0.51,13.5,74.0,0.24,0,0
Isaiah Thomas,BOS,PG,2016,0,26.0,5.7,0.359,0.462,0.871,2.0,22.2,0.562,0.336,0.394,4.9,32.7,1.7,0.3,29.6,-0.6,4.3,4.2,-0.37,3.2,98.5,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,0,0
Ish Smith,2TM,PG,2016,0,27.0,2.2,0.329,0.428,0.693,1.7,12.6,0.528,0.302,0.264,7.5,38.3,1.9,0.8,23.9,-1.3,-1.6,0.2,0.275,-7.15,97.35,0.4925,13.55,20.9,0.1935,0.5165,13.1,76.4,0.2324999999999999,0,0
J.J. Barea,DAL,PG,2016,0,31.0,3.5,0.385,0.481,0.771,1.5,10.9,0.536,0.366,0.135,5.0,31.5,0.8,0.1,23.8,-1.6,0.0,0.9,0.29,-0.3,94.3,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198,0,0
J.J. Hickson,2TM,C,2016,0,27.0,0.0,0.0,0.519,0.447,1.3,5.9,0.5375000000000001,0.2794999999999999,0.2724999999999999,16.8,8.7,1.7,2.6,22.6,0.0,-1.1,0.1,0.145,-1.9,97.1,0.5,13.15,23.200000000000003,0.204,0.515,13.6,77.5,0.217,0,0
J.J. O'Brien,UTA,SF,2016,0,23.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,9.7,0.0,8.8,0.0,7.7,5.3,-6.2,0.0,0.05,2.0,91.0,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,0,0
J.R. Smith,CLE,SG,2016,0,30.0,6.6,0.4,0.438,0.634,2.6,12.4,0.542,0.6,0.084,5.2,8.5,1.8,0.7,18.0,0.3,0.5,1.5,-0.55,6.4,93.3,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,0,0
JJ Redick,LAC,SG,2016,0,31.0,5.6,0.475,0.484,0.888,1.8,16.3,0.632,0.478,0.233,3.6,8.6,1.0,0.2,22.6,-1.1,2.2,2.2,-0.15,4.5,95.8,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,0,0
JaKarr Sampson,2TM,SF,2016,0,22.0,0.9,0.222,0.496,0.656,1.9,5.1,0.525,0.302,0.2754999999999999,9.0,6.2,1.0,2.2,16.6,-1.0,-5.4,-1.0,0.3,-6.85,96.8,0.488,14.0,23.200000000000003,0.201,0.5125,13.05,75.65,0.2279999999999999,0,0
JaMychal Green,MEM,PF,2016,0,25.0,0.6,0.333,0.478,0.752,2.4,7.4,0.52,0.091,0.277,14.7,7.7,1.6,2.1,19.8,-1.0,-2.5,-0.2,0.11,-2.4,93.3,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,0,0
JaVale McGee,DAL,C,2016,0,28.0,0.0,0.0,0.579,0.5,1.4,5.1,0.574,0.007,0.269,19.7,1.5,0.7,5.9,21.1,-0.2,-0.3,0.1,0.29,-0.3,94.3,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198,0,0
Jabari Parker,MIL,PF,2016,0,20.0,0.5,0.257,0.502,0.768,2.0,14.1,0.535,0.039,0.254,9.4,8.9,1.5,1.0,20.9,-1.6,-2.0,0.0,0.2,-4.4,94.2,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,0,0
Jae Crowder,BOS,SF,2016,0,25.0,5.0,0.336,0.529,0.82,2.7,14.2,0.565,0.446,0.294,8.6,8.9,2.7,1.2,18.5,1.4,2.2,2.5,-0.37,3.2,98.5,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,0,0
Jahlil Okafor,PHI,C,2016,4,20.0,0.1,0.167,0.511,0.686,2.6,17.5,0.536,0.008,0.248,12.8,8.2,0.7,2.9,27.3,-1.8,-2.3,-0.1,0.31,-10.4,97.9,0.487,14.8,20.6,0.186,0.51,13.5,74.0,0.24,0,0
Jamal Crawford,LAC,SG,2016,0,35.0,4.4,0.34,0.44,0.904,1.5,14.2,0.529,0.366,0.289,3.7,14.0,1.2,0.4,24.9,-1.5,-1.4,0.3,-0.15,4.5,95.8,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,0,0
Jameer Nelson,DEN,PG,2016,0,33.0,3.7,0.299,0.429,0.857,2.6,7.7,0.464,0.469,0.114,6.2,27.3,1.2,0.4,16.4,-0.8,-3.0,-0.3,0.29,-3.3,95.7,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,0,0
James Anderson,SAC,SG,2016,0,26.0,1.7,0.267,0.478,0.759,1.1,3.5,0.469,0.483,0.163,6.5,7.7,1.4,1.6,13.7,-0.6,-4.5,-0.5,0.16,-2.4,100.0,0.51,14.2,23.9,0.214,0.521,14.0,74.9,0.202,0,0
James Ennis III,3TM,SF,2016,0,25.0,2.6,0.448,0.509,0.735,1.3,7.2,0.5353333333333333,0.24,0.2786666666666667,7.1,10.1,2.4,1.3,19.8,-1.0,1.5,0.3,0.0699999999999999,-1.5333333333333332,94.56666666666666,0.4943333333333333,12.633333333333336,23.433333333333334,0.214,0.5086666666666667,13.333333333333334,77.23333333333333,0.224,0,0
James Harden,HOU,SG,2016,0,26.0,8.0,0.359,0.494,0.86,2.8,29.0,0.598,0.406,0.518,8.8,35.4,2.2,1.4,32.5,0.2,6.6,6.8,0.14,0.2,97.6,0.516,14.2,25.7,0.244,0.516,14.8,72.8,0.219,2,1
James Johnson,TOR,PF,2016,0,28.0,1.2,0.303,0.54,0.574,1.5,5.0,0.532,0.275,0.283,7.8,11.4,1.6,2.9,15.9,0.5,-1.0,0.2,-0.42,4.8,92.9,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,0,0
James Jones,CLE,SF,2016,0,35.0,2.2,0.394,0.447,0.808,1.0,3.7,0.58,0.732,0.183,6.1,4.5,1.2,1.8,16.2,-0.1,-0.3,0.2,-0.55,6.4,93.3,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,0,0
James Michael McAdoo,GSW,PF,2016,0,23.0,0.0,0.5,0.537,0.531,1.0,2.9,0.554,0.024,0.583,11.9,9.2,1.8,2.2,20.1,-0.3,-1.8,0.0,-0.38,10.7,99.3,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208,0,0
James Young,BOS,SG,2016,0,20.0,0.9,0.231,0.5,0.25,0.6,1.0,0.384,0.722,0.111,6.9,6.0,1.5,0.4,9.1,0.8,-4.5,-0.1,-0.37,3.2,98.5,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,0,0
Jared Cunningham,2TM,SG,2016,0,24.0,0.9,0.308,0.364,0.655,0.9,2.7,0.5475000000000001,0.2704999999999999,0.2675,5.3,6.9,1.8,0.4,16.5,-0.2,-5.7,-0.4,-0.175,1.0,93.75,0.5115000000000001,13.45,25.0,0.2005,0.503,13.4,75.8,0.213,0,0
Jared Dudley,WAS,PF,2016,0,30.0,2.9,0.42,0.534,0.735,2.3,7.9,0.602,0.489,0.201,7.6,11.4,1.7,0.7,12.7,0.7,-0.1,1.0,0.0,-0.5,98.5,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,0,0
Jared Sullinger,BOS,PF,2016,0,23.0,1.3,0.282,0.458,0.64,2.6,10.3,0.476,0.128,0.2,18.7,15.5,1.9,1.9,21.8,0.7,0.6,1.3,-0.37,3.2,98.5,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,0,0
Jarell Eddie,WAS,SF,2016,0,24.0,1.8,0.319,0.278,1.0,0.2,2.4,0.46,0.723,0.123,8.8,5.0,1.7,0.6,20.7,-1.1,-1.5,0.0,0.0,-0.5,98.5,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,0,0
Jarell Martin,MEM,PF,2016,0,21.0,0.1,0.0,0.474,0.726,2.1,5.7,0.534,0.017,0.534,12.9,6.4,1.1,1.7,19.2,-1.8,-3.7,-0.2,0.11,-2.4,93.3,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,0,0
Jarnell Stokes,2TM,C,2016,0,22.0,0.0,0.0,0.6,0.5,0.1,1.0,0.5345,0.2215,0.2885,12.6,9.6,2.8,0.0,14.9,0.1,2.0,0.0,-0.015,-0.35,93.45,0.4925,12.8,24.55,0.2205,0.5015000000000001,13.65,76.44999999999999,0.2235,0,0
Jarrett Jack,BRK,PG,2016,0,32.0,3.2,0.304,0.426,0.893,2.4,12.8,0.505,0.285,0.313,7.4,35.0,1.7,0.6,21.7,-0.7,-0.7,0.3,0.24,-7.7,95.2,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,0,0
Jason Smith,ORL,C,2016,0,29.0,0.2,0.25,0.493,0.806,2.1,7.2,0.513,0.032,0.133,10.3,8.6,1.4,4.6,22.1,0.3,-2.2,-0.1,-0.06,-1.7,96.0,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,0,0
Jason Terry,HOU,SG,2016,0,38.0,3.6,0.356,0.504,0.818,1.3,5.9,0.54,0.694,0.088,3.5,12.4,1.8,0.6,15.0,-0.9,-1.6,0.1,0.14,0.2,97.6,0.516,14.2,25.7,0.244,0.516,14.8,72.8,0.219,0,0
Jason Thompson,2TM,C,2016,0,29.0,0.3,0.333,0.505,0.704,1.7,3.1,0.5725,0.3245,0.289,15.9,8.5,1.3,3.3,13.9,1.2,-0.8,0.1,-0.4,7.75,96.1,0.5335,12.9,24.05,0.223,0.4885,12.65,76.85,0.2045,0,0
Jeff Ayres,LAC,C,2016,0,28.0,0.1,0.0,0.545,1.0,1.1,1.8,0.585,0.043,0.261,11.2,6.9,0.0,2.2,13.4,-0.5,-6.1,-0.1,-0.15,4.5,95.8,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,0,0
Jeff Green,2TM,SF,2016,0,29.0,2.7,0.315,0.47,0.745,2.1,11.7,0.54,0.273,0.3065,8.3,10.0,1.3,1.5,20.2,-0.9,-1.8,0.1,-0.0199999999999999,1.05,94.55,0.5005,12.2,22.700000000000003,0.2255,0.499,14.5,74.44999999999999,0.2365,0,0
Jeff Teague,ATL,PG,2016,0,27.0,3.5,0.4,0.454,0.837,2.1,15.7,0.551,0.278,0.316,5.2,34.4,2.1,0.8,26.6,-0.2,1.3,1.9,-0.12,3.7,97.1,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,0,0
Jeff Withey,UTA,C,2016,0,25.0,0.0,0.0,0.544,0.729,1.5,4.3,0.577,0.012,0.364,15.4,5.0,1.7,6.8,15.1,2.0,1.0,0.5,0.05,2.0,91.0,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,0,0
Jerami Grant,PHI,PF,2016,0,21.0,1.9,0.24,0.477,0.658,2.8,9.7,0.506,0.244,0.538,9.5,10.4,1.3,4.7,18.0,0.4,-1.7,0.1,0.31,-10.4,97.9,0.487,14.8,20.6,0.186,0.51,13.5,74.0,0.24,0,0
Jeremy Evans,DAL,SF,2016,0,28.0,0.5,0.25,0.688,0.714,0.6,2.4,0.62,0.333,0.438,11.8,1.2,1.2,3.0,11.7,1.0,-0.4,0.1,0.29,-0.3,94.3,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198,0,0
Jeremy Lamb,CHO,SG,2016,0,23.0,2.7,0.309,0.529,0.727,1.6,8.8,0.529,0.355,0.173,11.2,10.9,1.7,2.0,22.0,0.7,0.8,0.9,-0.36,2.9,95.6,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,0,0
Jeremy Lin,CHO,SG,2016,0,27.0,2.9,0.336,0.446,0.815,2.1,11.7,0.534,0.31,0.401,6.8,18.6,1.4,1.7,22.2,0.0,-0.9,0.5,-0.36,2.9,95.6,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,0,0
Jerian Grant,NYK,PG,2016,0,23.0,1.3,0.22,0.454,0.78,1.3,5.6,0.479,0.256,0.315,6.2,21.8,2.0,0.6,19.0,-0.3,-3.1,-0.3,0.0,-3.0,93.4,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204,0,0
Jerryd Bayless,MIL,SG,2016,0,27.0,4.4,0.437,0.408,0.778,2.1,10.4,0.568,0.529,0.206,5.4,16.2,1.6,0.6,16.4,-1.0,-0.8,0.4,0.2,-4.4,94.2,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,0,0
